model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
GaLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,969.0551,0.9691,0.01256323,969.4703,0.233,33.48001598768613,5.1575,57.3705,7.5743,0.7829,4.1149,0.1862,inf,inf,71.5874,0.6931,1.022
GaLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1073.4532,1.0735,0.00927472,1073.8584,0.2246,33.225546227293634,5.3212,58.6438,7.6579,0.8206,4.3231,0.1681,inf,inf,73.0149,0.7088,1.0544
GaLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1155.8096,1.1558,0.00738549,1156.175,0.2416,32.33093581324331,5.8612,62.1117,7.8811,0.9117,5.0877,0.1189,inf,inf,77.225,0.7557,1.1614
GaLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1205.7572,1.2058,0.01164699,1206.1464,0.2211,33.841624525148916,5.1631,57.4773,7.5814,0.767,4.0456,0.1846,inf,inf,71.877,0.6944,1.0231
GaLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1205.3954,1.2054,0.0123682,1205.7585,0.2387,32.397959298597804,5.8858,62.5401,7.9082,0.9147,5.1835,0.1128,inf,inf,77.5156,0.7583,1.1663
GaLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1186.5399,1.1865,0.01134682,1186.9124,0.2398,33.21304721870879,5.2849,57.6722,7.5942,0.8066,4.1924,0.1819,inf,inf,72.5585,0.7044,1.0472
GaLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1182.7689,1.1828,0.00688529,1183.1541,0.2255,32.31957466403289,5.9145,63.1899,7.9492,0.928,5.2227,0.1036,inf,inf,77.7001,0.7601,1.172
GaLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1186.2489,1.1862,0.00922275,1186.6112,0.2486,32.72091947106445,5.6344,60.5115,7.7789,0.8782,4.8888,0.1416,inf,inf,75.6595,0.7389,1.1165
GaLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1179.9732,1.18,0.01253748,1180.3168,0.2429,32.68996335261285,5.6556,60.166,7.7567,0.8759,4.784,0.1465,inf,inf,75.701,0.7387,1.1207
GaLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,1179.1126,1.1791,0.01139569,1179.4939,0.2297,32.73242255534665,5.6654,60.8032,7.7976,0.8766,4.9228,0.1375,inf,inf,75.6942,0.7375,1.1226
